Transacao,Usuario,Provedor,Produto,ProdutoCategoria,Canal,ValorEmConta,ValorServico,DataHora,EstrategiaPreco,Fraude
90888,460,3,3,netflix,3,10000.0,10000,2018-11-15T06:53:44Z,1,0
65202,1825,6,3,netflix,3,1000.0,1000,2018-11-15T06:55:55Z,2,0
8835,1346,1,15,varejo,3,10500.0,10500,2018-11-15T06:58:13Z,2,0
90129,460,3,3,netflix,3,10000.0,10000,2018-11-15T06:58:20Z,1,0
131779,4103,5,15,varejo,3,10000.0,10000,2018-11-15T06:58:25Z,2,0
93966,460,3,3,netflix,3,10000.0,10000,2018-11-15T06:58:38Z,1,0
108529,460,3,3,netflix,3,10000.0,10000,2018-11-15T06:58:59Z,1,0
73142,4132,6,10,netflix,3,2000.0,2000,2018-11-15T06:59:00Z,2,0
74125,460,3,3,netflix,3,10000.0,10000,2018-11-15T06:59:11Z,1,0
87379,4841,4,6,varejo,2,-40.0,40,2018-11-15T06:59:13Z,2,0
118301,460,3,3,netflix,3,10000.0,10000,2018-11-15T06:59:25Z,1,0
13379,460,3,3,netflix,3,10000.0,10000,2018-11-15T06:59:36Z,1,0
78064,460,3,3,netflix,3,10000.0,10000,2018-11-15T07:00:04Z,1,0
91257,335,6,10,netflix,3,1000.0,1000,2018-11-15T07:01:44Z,2,0
74975,4249,4,10,netflix,2,-1000.0,1000,2018-11-15T07:01:52Z,4,0
17884,4841,4,6,varejo,2,-20.0,20,2018-11-15T07:01:56Z,2,0
82712,1709,6,10,netflix,3,500.0,500,2018-11-15T07:02:45Z,2,0
99175,1346,6,3,netflix,3,600.0,600,2018-11-15T07:02:47Z,2,0
10727,934,6,3,netflix,3,1000.0,1000,2018-11-15T07:03:26Z,2,0
41595,934,6,3,netflix,3,1000.0,1000,2018-11-15T07:03:26Z,2,0
27158,934,6,3,netflix,3,1000.0,1000,2018-11-15T07:03:26Z,2,0
3262,934,6,3,netflix,3,1000.0,1000,2018-11-15T07:03:26Z,2,0
80879,934,6,3,netflix,3,1000.0,1000,2018-11-15T07:03:26Z,2,0
20937,934,6,3,netflix,3,1000.0,1000,2018-11-15T07:03:26Z,2,0
55524,934,6,3,netflix,3,1000.0,1000,2018-11-15T07:03:26Z,2,0
71429,934,6,3,netflix,3,1000.0,1000,2018-11-15T07:03:26Z,2,0
16909,934,6,3,netflix,3,1000.0,1000,2018-11-15T07:03:26Z,2,0
53266,934,6,3,netflix,3,1000.0,1000,2018-11-15T07:03:27Z,2,0
22657,934,6,3,netflix,3,1000.0,1000,2018-11-15T07:03:27Z,2,0
20430,934,6,3,netflix,3,1000.0,1000,2018-11-15T07:03:27Z,2,0
128788,934,6,3,netflix,3,1000.0,1000,2018-11-15T07:03:27Z,2,0
67125,934,6,3,netflix,3,1000.0,1000,2018-11-15T07:03:27Z,2,0
90318,4841,4,6,varejo,2,-30.0,30,2018-11-15T07:03:50Z,2,0
108992,4841,4,6,varejo,2,-10.0,10,2018-11-15T07:04:02Z,2,0
50492,946,5,15,varejo,3,17000.0,17000,2018-11-15T07:05:16Z,2,0
324,1825,6,3,netflix,3,600.0,600,2018-11-15T07:09:27Z,2,0
131509,1346,6,3,netflix,3,600.0,600,2018-11-15T07:10:18Z,2,0
121007,4841,4,6,varejo,2,-30.0,30,2018-11-15T07:10:43Z,2,0
74700,946,5,15,varejo,3,15000.0,15000,2018-11-15T07:10:59Z,2,0
114490,4832,3,15,varejo,3,9999.0,9999,2018-11-15T07:12:53Z,2,0
122632,4832,3,15,varejo,3,9999.0,9999,2018-11-15T07:13:06Z,2,0
131898,4103,6,1,netflix,3,500.0,500,2018-11-15T07:13:47Z,2,0
11821,4841,4,6,varejo,2,-25.0,25,2018-11-15T07:13:58Z,2,0
15240,4249,4,3,netflix,2,-2000.0,2000,2018-11-15T07:17:05Z,4,0
45385,4103,6,1,netflix,3,1500.0,1500,2018-11-15T07:27:48Z,2,0
28382,4841,4,6,varejo,2,-75.0,75,2018-11-15T07:28:03Z,2,0
92853,1825,6,3,netflix,3,500.0,500,2018-11-15T07:33:01Z,2,0
65186,2056,6,3,netflix,3,1000.0,1000,2018-11-15T07:42:49Z,2,0
97109,4841,4,6,varejo,2,-50.0,50,2018-11-15T07:43:24Z,2,0
89901,280,1,20,ticket,3,35000.0,35000,2018-11-15T07:45:05Z,4,0
39740,2296,3,15,varejo,3,50000.0,50000,2018-11-15T07:49:22Z,2,0
88700,335,6,10,netflix,3,1000.0,1000,2018-11-15T07:57:47Z,2,0
34770,4841,4,6,varejo,2,-20.0,20,2018-11-15T07:58:00Z,2,0
50795,1346,6,3,netflix,3,1000.0,1000,2018-11-15T08:01:03Z,2,0
54850,4841,4,6,varejo,2,-50.0,50,2018-11-15T08:01:39Z,2,0
60873,3832,3,15,varejo,3,700000.0,700000,2018-11-15T08:04:51Z,0,1
107188,4103,6,3,netflix,3,3000.0,3000,2018-11-15T08:07:21Z,2,0
76653,4841,4,6,varejo,2,-150.0,150,2018-11-15T08:07:52Z,2,0
82931,280,1,4,netflix,3,500.0,500,2018-11-15T08:11:57Z,4,0
127182,4116,5,3,netflix,3,2000.0,2000,2018-11-15T08:13:48Z,4,0
117531,4103,6,10,netflix,3,1000.0,1000,2018-11-15T08:14:16Z,2,0
127308,4841,4,6,varejo,2,-20.0,20,2018-11-15T08:14:30Z,2,0
49985,4841,4,6,varejo,2,-100.0,100,2018-11-15T08:14:34Z,2,0
15783,2685,5,15,varejo,3,3000.0,3000,2018-11-15T08:15:25Z,2,0
31061,4132,6,10,netflix,3,1000.0,1000,2018-11-15T08:15:38Z,2,0
15394,4841,4,6,varejo,2,-20.0,20,2018-11-15T08:15:47Z,2,0
85162,856,6,10,netflix,3,1000.0,1000,2018-11-15T08:16:24Z,2,0
55055,168,5,9,varejo,1,500.0,500,2018-11-15T08:19:15Z,0,0
42587,2685,6,3,netflix,3,1000.0,1000,2018-11-15T08:20:06Z,2,0
101834,2685,6,3,netflix,3,1000.0,1000,2018-11-15T08:20:06Z,2,0
28016,2366,5,9,varejo,1,725000.0,725000,2018-11-15T08:20:09Z,2,1
67043,4841,4,6,varejo,2,-50.0,50,2018-11-15T08:20:37Z,2,0
83124,4841,4,6,varejo,2,-50.0,50,2018-11-15T08:20:58Z,2,0
31247,1447,5,15,varejo,3,1200.0,1200,2018-11-15T08:22:24Z,2,0
50027,1447,6,3,netflix,3,1235.0,1235,2018-11-15T08:23:17Z,2,0
110514,4841,4,6,varejo,2,-60.0,60,2018-11-15T08:23:46Z,2,0
60546,2685,6,3,netflix,3,500.0,500,2018-11-15T08:23:59Z,2,0
87669,4841,4,6,varejo,2,-25.0,25,2018-11-15T08:24:25Z,2,0
17730,4140,5,15,varejo,3,2000.0,2000,2018-11-15T08:24:30Z,2,0
1149,3832,3,15,varejo,3,700000.0,700000,2018-11-15T08:31:57Z,0,1
104795,3682,5,3,netflix,3,1500.0,1500,2018-11-15T08:32:30Z,4,0
131788,4841,4,6,varejo,2,-75.0,75,2018-11-15T08:33:11Z,2,0
37796,4140,5,15,varejo,3,200000.0,200000,2018-11-15T08:33:20Z,0,0
99137,1725,1,15,varejo,3,1000.0,1000,2018-11-15T08:40:27Z,2,0
38708,280,1,21,boleto,3,500.0,1115,2018-11-15T08:42:56Z,2,0
80984,3595,6,1,netflix,3,800.0,800,2018-11-15T08:45:01Z,2,0
12441,2604,6,24,museu,3,10000.0,10000,2018-11-15T08:45:03Z,2,0
7373,4841,4,6,varejo,2,-10.0,10,2018-11-15T08:45:16Z,2,0
97866,109,6,3,netflix,3,1000.0,1000,2018-11-15T08:46:11Z,2,0
113875,2402,5,11,internet,3,1000.0,1000,2018-11-15T08:46:54Z,4,0
137353,4841,4,6,varejo,2,-20.0,20,2018-11-15T08:47:24Z,2,0
31560,3081,5,10,netflix,3,500.0,500,2018-11-15T08:51:13Z,4,0
2485,280,1,19,globoplay,3,3500.0,3500,2018-11-15T08:53:16Z,2,0
71534,4401,6,3,netflix,3,1000.0,1000,2018-11-15T08:55:50Z,2,0
136061,1601,1,15,varejo,3,49000.0,49000,2018-11-15T08:55:50Z,2,0
83061,280,1,24,museu,3,5000.0,7000,2018-11-15T08:55:59Z,2,0
66790,3183,6,3,netflix,3,1100.0,1100,2018-11-15T08:56:05Z,2,0
139243,4841,4,6,varejo,2,-50.0,50,2018-11-15T08:56:21Z,2,0
585,4841,4,6,varejo,2,-55.0,55,2018-11-15T08:56:38Z,2,0
127117,4401,6,3,netflix,3,7000.0,7000,2018-11-15T08:58:52Z,2,0
128590,1601,1,15,varejo,3,49000.0,49000,2018-11-15T08:58:56Z,2,0
63024,4841,4,6,varejo,2,-350.0,350,2018-11-15T08:59:24Z,2,0
40420,563,1,15,varejo,3,10000.0,10000,2018-11-15T09:03:58Z,2,0
23717,128,6,3,netflix,3,1000.0,1000,2018-11-15T09:07:09Z,2,0
18000,648,5,11,internet,3,30000.0,30000,2018-11-15T09:07:29Z,4,0
139127,4841,4,6,varejo,2,-50.0,50,2018-11-15T09:07:41Z,2,0
5320,4841,4,6,varejo,2,-600.0,600,2018-11-15T09:08:09Z,2,0
12439,160,3,15,varejo,3,10000.0,10000,2018-11-15T09:10:09Z,2,0
13762,128,1,15,varejo,3,1500.0,1500,2018-11-15T09:10:12Z,2,0
140112,1601,6,3,netflix,3,1000.0,1000,2018-11-15T09:10:49Z,2,0
64549,4841,4,6,varejo,2,-50.0,50,2018-11-15T09:11:21Z,2,0
22261,160,6,10,netflix,3,2000.0,2000,2018-11-15T09:12:05Z,2,0
73883,1601,6,3,netflix,3,1000.0,1000,2018-11-15T09:12:47Z,2,0
65346,4841,4,6,varejo,2,-50.0,50,2018-11-15T09:13:18Z,2,0
104627,3455,5,15,varejo,3,1000.0,1000,2018-11-15T09:18:01Z,2,0
130960,4482,6,4,netflix,3,1000.0,1000,2018-11-15T09:18:02Z,2,0
22710,3455,6,3,netflix,3,1100.0,1100,2018-11-15T09:19:20Z,2,0
16562,4841,4,6,varejo,2,-50.0,50,2018-11-15T09:19:55Z,2,0
73229,2395,5,3,netflix,3,900.0,900,2018-11-15T09:21:03Z,4,0
92614,4841,4,6,varejo,2,-45.0,45,2018-11-15T09:21:44Z,2,0
15593,687,1,15,varejo,3,20000.0,20000,2018-11-15T09:24:03Z,2,0
122721,2335,5,15,varejo,3,2500.0,2500,2018-11-15T09:24:36Z,2,0
49087,2335,6,3,netflix,3,2000.0,2000,2018-11-15T09:27:56Z,2,0
100256,4841,4,6,varejo,2,-100.0,100,2018-11-15T09:28:28Z,2,0
139535,3741,5,3,netflix,3,1000.0,1000,2018-11-15T09:28:54Z,4,0
105655,4841,4,6,varejo,2,-50.0,50,2018-11-15T09:29:33Z,2,0
61457,238,5,10,netflix,3,1000.0,1000,2018-11-15T09:34:37Z,4,0
56115,694,6,3,netflix,3,1000.0,1000,2018-11-15T09:35:27Z,2,0
18150,4841,4,6,varejo,2,-50.0,50,2018-11-15T09:36:05Z,2,0
57868,4840,4,6,varejo,2,-1000.0,1000,2018-11-15T09:36:09Z,2,0
101667,4841,4,6,varejo,2,-20.0,20,2018-11-15T09:36:17Z,2,0
70993,1823,6,14,varejo,3,1040.0,1040,2018-11-15T09:36:22Z,2,0
75285,4445,6,10,netflix,3,1000.0,1000,2018-11-15T09:39:08Z,2,0
66340,4445,6,3,netflix,3,1000.0,1000,2018-11-15T09:40:17Z,2,0
53905,1339,6,10,netflix,3,1500.0,1500,2018-11-15T09:40:49Z,2,0
75604,4841,4,6,varejo,2,-20.0,20,2018-11-15T09:41:40Z,2,0
70877,4841,4,6,varejo,2,-30.0,30,2018-11-15T09:41:43Z,2,0
27317,4841,4,6,varejo,2,-50.0,50,2018-11-15T09:41:47Z,2,0
126901,1601,6,3,netflix,3,1000.0,1000,2018-11-15T09:45:20Z,2,0
63710,712,1,15,varejo,3,3000.0,3000,2018-11-15T09:45:48Z,2,0
101717,4841,4,6,varejo,2,-50.0,50,2018-11-15T09:45:52Z,2,0
95988,538,1,15,varejo,3,10000.0,10000,2018-11-15T09:47:33Z,2,0
136992,1601,6,3,netflix,3,1000.0,1000,2018-11-15T09:47:54Z,2,0
67240,4841,4,6,varejo,2,-50.0,50,2018-11-15T09:48:23Z,2,0
25753,538,6,10,netflix,3,1000.0,1000,2018-11-15T09:49:28Z,2,0
43504,4841,4,6,varejo,2,-20.0,20,2018-11-15T09:49:41Z,2,0
73470,432,5,3,netflix,3,2500.0,2500,2018-11-15T09:51:10Z,4,0
29005,4841,4,6,varejo,2,-125.0,125,2018-11-15T09:51:48Z,2,0
129947,3617,5,1,netflix,3,1000.0,1000,2018-11-15T09:54:10Z,4,0
69199,4841,4,6,varejo,2,-50.0,50,2018-11-15T09:54:38Z,2,0
105639,3375,6,10,netflix,3,1000.0,1000,2018-11-15T09:57:21Z,2,0
7101,4841,4,6,varejo,2,-20.0,20,2018-11-15T09:57:35Z,2,0
46301,4401,6,3,netflix,3,1000.0,1000,2018-11-15T10:06:21Z,2,0
124922,4068,6,3,netflix,3,1000.0,1000,2018-11-15T10:06:37Z,2,0
122259,4841,4,6,varejo,2,-50.0,50,2018-11-15T10:06:53Z,2,0
58671,4841,4,6,varejo,2,-50.0,50,2018-11-15T10:07:12Z,2,0
130318,2237,3,10,netflix,3,2000.0,2000,2018-11-15T10:09:25Z,1,0
25759,4401,6,3,netflix,3,500.0,500,2018-11-15T10:11:37Z,2,0
17047,4841,4,6,varejo,2,-25.0,25,2018-11-15T10:12:06Z,2,0
50696,2333,1,21,boleto,3,17000.0,18710,2018-11-15T10:13:07Z,2,0
89840,4841,4,6,varejo,2,-644.0,644,2018-11-15T10:14:37Z,2,0
107230,3710,6,10,netflix,3,2000.0,2000,2018-11-15T10:14:39Z,2,0
28531,4840,4,6,varejo,2,-1000.0,1000,2018-11-15T10:14:41Z,2,0
124238,4841,4,6,varejo,2,-35.6,36,2018-11-15T10:14:55Z,2,0
78491,2333,1,3,netflix,3,1000.0,1000,2018-11-15T10:18:06Z,4,0
5811,3455,5,15,varejo,3,1000.0,1000,2018-11-15T10:21:21Z,2,0
58791,3455,6,4,netflix,3,1000.0,1000,2018-11-15T10:22:53Z,2,0
127886,4841,4,6,varejo,2,-50.0,50,2018-11-15T10:23:13Z,2,0
64861,2056,6,3,netflix,3,5000.0,5000,2018-11-15T10:29:59Z,2,0
69578,4841,4,6,varejo,2,-250.0,250,2018-11-15T10:30:35Z,2,0
86256,2056,6,10,netflix,3,1000.0,1000,2018-11-15T10:31:24Z,2,0
91746,4841,4,6,varejo,2,-20.0,20,2018-11-15T10:31:40Z,2,0
95299,1533,3,15,varejo,3,5000.0,5000,2018-11-15T10:32:01Z,2,0
7578,1622,6,10,netflix,3,2000.0,2000,2018-11-15T10:32:18Z,2,0
134950,4841,4,6,varejo,2,-40.0,40,2018-11-15T10:32:28Z,2,0
119886,4840,4,6,varejo,2,-1000.0,1000,2018-11-15T10:32:31Z,2,0
26,1601,6,3,netflix,3,1000.0,1000,2018-11-15T10:35:33Z,2,0
75290,4841,4,6,varejo,2,-50.0,50,2018-11-15T10:36:07Z,2,0
113653,1533,6,10,netflix,3,2000.0,2000,2018-11-15T10:36:46Z,2,0
50496,1601,6,3,netflix,3,1000.0,1000,2018-11-15T10:36:46Z,2,0
62244,2056,6,10,netflix,3,5000.0,5000,2018-11-15T10:36:54Z,2,0
92313,4841,4,6,varejo,2,-40.0,40,2018-11-15T10:36:57Z,2,0
63458,4840,4,6,varejo,2,-1000.0,1000,2018-11-15T10:36:59Z,2,0
60407,4841,4,6,varejo,2,-100.0,100,2018-11-15T10:37:05Z,2,0
61206,4841,4,6,varejo,2,-50.0,50,2018-11-15T10:37:17Z,2,0
133222,335,6,3,netflix,3,1000.0,1000,2018-11-15T10:37:29Z,2,0
3205,335,6,3,netflix,3,1000.0,1000,2018-11-15T10:37:29Z,2,0
48408,4841,4,6,varejo,2,-50.0,50,2018-11-15T10:37:56Z,2,0
109152,2056,6,3,netflix,3,1000.0,1000,2018-11-15T10:38:22Z,2,0
31252,4249,4,10,netflix,2,-2000.0,2000,2018-11-15T10:38:30Z,4,0
27902,4249,4,10,netflix,2,-2000.0,2000,2018-11-15T10:38:44Z,4,0
102204,4841,4,6,varejo,2,-50.0,50,2018-11-15T10:38:50Z,2,0
79856,4841,4,6,varejo,2,-50.0,50,2018-11-15T10:39:54Z,2,0
86216,1601,6,3,netflix,3,1000.0,1000,2018-11-15T10:43:21Z,2,0
19249,4841,4,6,varejo,2,-50.0,50,2018-11-15T10:43:56Z,2,0
137687,4068,6,3,netflix,3,1000.0,1000,2018-11-15T10:44:18Z,2,0
12664,4841,4,6,varejo,2,-50.0,50,2018-11-15T10:44:45Z,2,0
91279,2256,5,15,varejo,3,1000.0,1000,2018-11-15T10:57:14Z,2,0
100427,2256,5,15,varejo,3,2000.0,2000,2018-11-15T11:00:10Z,2,0
59313,2591,6,1,netflix,3,10000.0,10000,2018-11-15T11:08:56Z,2,0
131432,1062,5,3,netflix,3,1000.0,1000,2018-11-15T11:09:01Z,4,0
80460,4841,4,6,varejo,2,-500.0,500,2018-11-15T11:09:15Z,2,0
30287,197,6,10,netflix,3,2000.0,2000,2018-11-15T11:10:28Z,2,0
84270,4841,4,6,varejo,2,-40.0,40,2018-11-15T11:10:43Z,2,0
91659,174,5,15,varejo,3,500.0,500,2018-11-15T11:11:46Z,2,0
89905,1062,5,3,netflix,3,1000.0,1000,2018-11-15T11:12:25Z,4,0
81820,174,1,15,varejo,3,2000.0,2000,2018-11-15T11:13:38Z,2,0
26767,4841,4,6,varejo,2,-50.0,50,2018-11-15T11:14:02Z,2,0
119019,4840,4,6,varejo,2,-1000.0,1000,2018-11-15T11:14:05Z,2,0
13675,3887,6,3,netflix,3,1000.0,1000,2018-11-15T11:15:00Z,2,0
24672,4841,4,6,varejo,2,-50.0,50,2018-11-15T11:15:34Z,2,0
50740,4840,4,6,varejo,2,-1000.0,1000,2018-11-15T11:15:37Z,2,0
130979,1601,6,10,netflix,3,500.0,500,2018-11-15T11:19:32Z,2,0
40013,4841,4,6,varejo,2,-10.0,10,2018-11-15T11:19:47Z,2,0
123547,1601,6,10,netflix,3,500.0,500,2018-11-15T11:20:20Z,2,0
19438,4841,4,6,varejo,2,-10.0,10,2018-11-15T11:20:31Z,2,0
45449,1601,6,10,netflix,3,500.0,500,2018-11-15T11:21:35Z,2,0
26332,4841,4,6,varejo,2,-10.0,10,2018-11-15T11:21:46Z,2,0
38473,4466,5,15,varejo,3,1000.0,1000,2018-11-15T11:27:23Z,2,0
23027,4184,5,3,netflix,3,1200.0,1200,2018-11-15T11:28:35Z,4,0
57038,4841,4,6,varejo,2,-60.0,60,2018-11-15T11:29:13Z,2,0
35605,3603,5,15,varejo,3,3000.0,3000,2018-11-15T11:30:02Z,2,0
119700,2056,6,3,netflix,3,1000.0,1000,2018-11-15T11:35:31Z,2,0
28153,4841,4,6,varejo,2,-50.0,50,2018-11-15T11:36:03Z,2,0
18345,4425,5,3,netflix,3,1200.0,1200,2018-11-15T11:43:18Z,4,0
17144,4841,4,6,varejo,2,-60.0,60,2018-11-15T11:43:55Z,2,0
52041,4068,6,3,netflix,3,1000.0,1000,2018-11-15T11:46:42Z,2,0
56797,4841,4,6,varejo,2,-50.0,50,2018-11-15T11:47:15Z,2,0
98470,4841,4,6,varejo,2,-10.0,10,2018-11-15T11:56:52Z,2,0
66853,1608,6,19,globoplay,3,3500.0,3500,2018-11-15T12:07:18Z,2,0
121679,4841,4,6,varejo,2,-70.0,70,2018-11-15T12:08:05Z,2,0
89604,946,6,10,netflix,3,10000.0,10000,2018-11-15T12:14:43Z,2,0
5178,4841,4,6,varejo,2,-200.0,200,2018-11-15T12:14:57Z,2,0
124062,4110,1,10,netflix,3,500.0,500,2018-11-15T12:20:35Z,4,0
41953,4110,6,10,netflix,3,500.0,500,2018-11-15T12:26:39Z,2,0
71919,2132,6,3,netflix,3,5000.0,5000,2018-11-15T12:26:56Z,2,0
109020,4841,4,6,varejo,2,-250.0,250,2018-11-15T12:27:28Z,2,0
76701,678,6,10,netflix,3,500.0,500,2018-11-15T12:27:46Z,2,0
128564,4140,5,3,netflix,3,2000.0,2000,2018-11-15T12:34:15Z,4,0
73294,3603,6,10,netflix,3,1000.0,1000,2018-11-15T12:36:04Z,2,0
40249,4841,4,6,varejo,2,-20.0,20,2018-11-15T12:36:16Z,2,0
106990,4840,4,6,varejo,2,-1000.0,1000,2018-11-15T12:36:20Z,2,0
43072,4068,6,3,netflix,3,1000.0,1000,2018-11-15T12:37:47Z,2,0
40315,12,6,3,netflix,3,1000.0,1000,2018-11-15T12:38:01Z,2,0
125855,4841,4,6,varejo,2,-50.0,50,2018-11-15T12:38:19Z,2,0
45184,4841,4,6,varejo,2,-50.0,50,2018-11-15T12:38:34Z,2,0
42866,4076,6,11,internet,3,1000.0,1000,2018-11-15T12:40:23Z,2,0
74684,3992,5,3,netflix,3,2000.0,2000,2018-11-15T12:40:45Z,4,0
59676,4841,4,6,varejo,2,-100.0,100,2018-11-15T12:41:27Z,2,0
103339,2860,5,3,netflix,3,1000.0,1000,2018-11-15T12:49:10Z,4,0
44228,1346,6,3,netflix,3,1000.0,1000,2018-11-15T12:51:18Z,2,0
